date,tvl_USD,SOL
1/25/2022,659999608.1,7317068.826
1/26/2022,684525111.7,7163301.713
1/27/2022,668872229,7251433.532
1/28/2022,645903470.4,7250010.892
1/29/2022,664668521.8,7166237.432
1/30/2022,692426190.7,7190303.122
1/31/2022,656028846.1,7179915.137
2/1/2022,721877899.2,7180721.17
2/2/2022,793729561.2,7196750.034
2/3/2022,707874365.6,6954945.624
2/4/2022,705511607,6976284.061
2/5/2022,778730591.2,6948608.826
2/6/2022,793301130.6,6927184.165
2/7/2022,819484738.7,7111730.788
2/8/2022,829282154.4,7047524.045
2/9/2022,806379308.8,7049386.387
2/10/2022,812752331.1,7109450.062
2/11/2022,755798203.6,7093366.529
2/12/2022,682160035.7,7081491.08
2/13/2022,685051392.2,7173313.008
2/14/2022,670504838.9,7180390.222
2/15/2022,692540208.5,7184027.059
2/16/2022,755339263.5,7180031.021
2/17/2022,704794182.2,6994781.483
2/18/2022,649807333.3,6944611.877
2/19/2022,649634881.9,7203757.839
2/20/2022,661443908.5,7236012.564
2/21/2022,657642032.1,7200723.005
2/22/2022,608285284.6,7285726.25
2/23/2022,633704478.9,7316758.791
2/24/2022,613760805.8,7191947.572
2/25/2022,645206935.2,7245445.651
2/26/2022,677000879.1,7292124.937
2/27/2022,654268450.8,7259163.995
2/28/2022,622254439.6,7269327.566
3/1/2022,716882353,7266927.045
3/2/2022,715413432.3,7232973.737
3/3/2022,737390587.5,7338680.21
3/4/2022,702613042.9,7352585.213
3/5/2022,638637204.2,7355029.416
3/6/2022,662203494.3,7385718.206
3/7/2022,629198168.4,7430304.304
3/8/2022,606441972.9,7345469.633
3/9/2022,604700828.5,7289064.953
3/10/2022,641827161.2,7298466.695
3/11/2022,588998072.6,7190795.662
3/12/2022,595894715,7298159.4
3/13/2022,599109673.5,7364593.405
3/14/2022,580430356.3,7363064.268
3/15/2022,592620415.6,7332596.085
3/16/2022,626814156.5,7238874.656
3/17/2022,631707238,7242687.893
3/18/2022,634286826.1,7227516.25
3/19/2022,664068718.2,7212650.355
3/20/2022,661456934.4,7160949.815
3/21/2022,637930600.7,7134093.051
3/22/2022,633044064.1,7130480.56
3/23/2022,641814879.9,7078028.171
3/24/2022,673880306,7078574.643
3/25/2022,727813785,7113808.865
3/26/2022,697407360.5,7116401.638
3/27/2022,725238780.3,7119956.61
3/28/2022,762389561.4,7125802.051
3/29/2022,758605287.4,7112369.093
3/30/2022,777540557.4,7102124.2
3/31/2022,859155637.1,7129922.3
4/1/2022,886420562,7111846.614
4/2/2022,962440170.6,7162611.971
4/3/2022,952795077.3,7180068.405
4/4/2022,971075490.9,7177732.951
4/5/2022,940393911.7,7180223.804
4/6/2022,908184642.2,7168558.231
4/7/2022,781815245.2,7009281.381
4/8/2022,823309414.3,6933131.91
4/9/2022,779614760.7,6990806.678
4/10/2022,792177966.8,7002987.684
4/11/2022,803165012.2,7162802.214
4/12/2022,715619281.5,7195769.547
4/13/2022,731944691.1,7078768.772
4/14/2022,753662536.2,7176371.513
4/15/2022,717260151.6,7142602.585
4/16/2022,724317612.2,7146695.73
4/17/2022,732295438.4,7153418.369
4/18/2022,721278474.7,7184048.552
4/19/2022,733638791.7,7153961.889
4/20/2022,784683752.6,7255513.2
4/21/2022,762389726.2,7223704.058
4/22/2022,729776889.5,7170140.396
4/23/2022,731540414.6,7272496.417
4/24/2022,730068593.1,7224110.361
4/25/2022,703756949,7087893.535
4/26/2022,719701885.6,7102554.876
4/27/2022,684118833,7156803.359
